"","Label","Stay","RiskLevel","Count","RiskCount","Prob"
"1","0 days|A","0 days","A",49884,52853,0.943825326849942
"2","1- 2 weeks|A","1- 2 weeks","A",35,52853,0.00066221406542675
"3","1 day|A","1 day","A",2494,52853,0.0471874822621232
"4","12-26 weeks|A","12-26 weeks","A",2,52853,3.78408037386714e-05
"5","2- 4 weeks|A","2- 4 weeks","A",20,52853,0.000378408037386714
"6","2 days|A","2 days","A",237,52853,0.00448413524303256
"7","3 days|A","3 days","A",89,52853,0.00168391576637088
"8","4- 8 weeks|A","4- 8 weeks","A",23,52853,0.000435169242994721
"9","4 days|A","4 days","A",42,52853,0.0007946568785121
"10","5 days|A","5 days","A",16,52853,0.000302726429909371
"11","6 days|A","6 days","A",11,52853,0.000208124420562693
"12","0 days|B","0 days","B",15145,16037,0.944378624431003
"13","1- 2 weeks|B","1- 2 weeks","B",15,16037,0.000935337033110931
"14","1 day|B","1 day","B",740,16037,0.0461432936334726
"15","2- 4 weeks|B","2- 4 weeks","B",9,16037,0.000561202219866559
"16","2 days|B","2 days","B",73,16037,0.00455197356113986
"17","3 days|B","3 days","B",19,16037,0.00118476024194051
"18","4- 8 weeks|B","4- 8 weeks","B",16,16037,0.000997692835318326
"19","4 days|B","4 days","B",11,16037,0.000685913824281349
"20","5 days|B","5 days","B",5,16037,0.000311779011036977
"21","6 days|B","6 days","B",4,16037,0.000249423208829582
"22","0 days|C","0 days","C",33004,34756,0.949591437449649
"23","1- 2 weeks|C","1- 2 weeks","C",19,34756,0.000546668201173898
"24","1 day|C","1 day","C",1434,34756,0.0412590631833352
"25","12-26 weeks|C","12-26 weeks","C",1,34756,2.87720105880999e-05
"26","2- 4 weeks|C","2- 4 weeks","C",10,34756,0.000287720105880999
"27","2 days|C","2 days","C",161,34756,0.00463229370468408
"28","3 days|C","3 days","C",60,34756,0.00172632063528599
"29","4- 8 weeks|C","4- 8 weeks","C",3,34756,8.63160317642997e-05
"30","4 days|C","4 days","C",37,34756,0.0010645643917597
"31","5 days|C","5 days","C",26,34756,0.000748072275290597
"32","6 days|C","6 days","C",1,34756,2.87720105880999e-05
"33","0 days|D","0 days","D",43751,46299,0.944966413961425
"34","1- 2 weeks|D","1- 2 weeks","D",72,46299,0.00155510918162379
"35","1 day|D","1 day","D",1968,46299,0.0425063176310503
"36","2- 4 weeks|D","2- 4 weeks","D",43,46299,0.000928745761247543
"37","2 days|D","2 days","D",232,46299,0.00501090736301
"38","26+ weeks|D","26+ weeks","D",3,46299,6.47962159009914e-05
"39","3 days|D","3 days","D",86,46299,0.00185749152249509
"40","4- 8 weeks|D","4- 8 weeks","D",68,46299,0.00146871422708914
"41","4 days|D","4 days","D",40,46299,0.000863949545346552
"42","5 days|D","5 days","D",24,46299,0.000518369727207931
"43","6 days|D","6 days","D",9,46299,0.000194388647702974
"44","8-12 weeks|D","8-12 weeks","D",3,46299,6.47962159009914e-05
"45","0 days|O","0 days","O",476043,494761,0.962167592029283
"46","1- 2 weeks|O","1- 2 weeks","O",161,494761,0.0003254096422313
"47","1 day|O","1 day","O",15645,494761,0.0316213282776937
"48","12-26 weeks|O","12-26 weeks","O",6,494761,1.21270674123466e-05
"49","2- 4 weeks|O","2- 4 weeks","O",103,494761,0.000208181323911949
"50","2 days|O","2 days","O",1459,494761,0.00294889855910227
"51","26+ weeks|O","26+ weeks","O",9,494761,1.81906011185198e-05
"52","3 days|O","3 days","O",642,494761,0.00129759621312108
"53","4- 8 weeks|O","4- 8 weeks","O",135,494761,0.000272859016777798
"54","4 days|O","4 days","O",336,494761,0.000679115775091408
"55","5 days|O","5 days","O",140,494761,0.000282964906288087
"56","6 days|O","6 days","O",74,494761,0.000149567164752274
"57","8-12 weeks|O","8-12 weeks","O",8,494761,1.61694232164621e-05
